'snails	'con oc sen
troop	doan quan
troopbird	con chim
trooper	quan nhan
trooping	doi quan
troopship	quan doi
troostite	trang web thoai mai
trophic	dinh duong
trophied	duoc nuoi duong
trophies	danh hieu
trophonian	nguoi an thit
trophosome	the duc
trophosperm	te bao hinh trung
trophy	chiec cup
tropically	ve mat nhiet doi
tropine	nhiet doi
tropist	nguoi theo chu nghia nhiet doi
tropologic	thuoc ve nhiet doi
tropological	sinh vat hoc
tropologize	dang sua doi
tropology	nhiet doi hoc
trossers	nguoi di ngang qua
trot	trot lot
trothless	khong co trothless
trotted	chay lon ton
trotter	lon ton
trotting	chay nuoc kieu
troubadour	nguoi hat rong
troublable	dang trach
troubler	lam gian doan
troublous	hat rong
trough	mang
trough-shell	vo mang
trounce	phien muon
trouncing	rac roi
troupe	doan kich
troupial	tap the
trout-colored	mau ca hoi
troutling	ca hoi
trouvere	tim thay
trouveur	nguoi tim kiem
troweled	trat
trowelful	trat trat
trowelfuls	trat dat
trowl	choi kham
trowsed	lat dat
trowsers	quan dai
trubutarily	chinh thuc
truce	dinh chien
trucebreaker	tau dinh chien
truckle-bed	giuong xe tai
truckling	lai xe tai
truckman	nguoi lai xe tai
truckmen	van tai duong bo
truculent	co dat
truculently	mot cach trung thuc
trudging	le buoc
true-blue	mau xanh chan thuc
true-born	sinh that
true-bred	giong that
true-hearted	chan thanh
true-penny	tien that
truelove	tinh yeu dich thuc
trugging-house	tron nha
truism	su gia doi
truismatic	tron hoc
trull	than tau
trumpet-shaped	hinh cai ken
trumpeter	nguoi thoi ken
trumpets	ken
trumpetwood	cay ken
trumpie	nhung cai ngan
trumping	thoi ken
trumplike	giong nhu ken
truncal	cut
truncating	cat bot
truncation	su cat bot
truncheoned	cat ngan
truncheoneer	nguoi cat ngan
trundle	chay i ach
trundle-bed	giuong thap co banh xe
trundled	di xe dap
trundling	lan lon
trunk	than cay
trunkfish	ca than
trunkwork	than cay
trusion	hon hop
truss	gian
trussed	tri hoan
trussing	gian giao
trust	long tin
trustee	nguoi duoc uy thac
trusteeship	su uy thac
truster	nguoi tin cay
trustiness	su than thien
trusting	tin tuong
trusty	dang tin cay
truth-lover	nguoi yeu su that
truth-teller	nguoi noi su that
truthful	trung thuc
trutination	su tri hoan
try-square	thu hinh vuong
trysail	cai trysail
tryst	nguoi thu
tryster	buon hon
trysting	co gang
tsarina	he thong cua toi
tsaritsa	nu hoang
tubal	ong dan trung
tubby	quan ao
tube	ong
tube-nosed	mui ong
tube-shell	vo ong
tubeform	dang ong
tubercula	vet lao
tuberculated	lao luc
tuberculization	lao to
tuberculous	benh lao
tuberculum	cay lao
tuberiferous	co nhieu cu
tuberose	hoa hue
tuberosities	cu nieng
tuberosity	long da
tuberous	co cu
tubeworm	ong sau
tubfish	ca ong
tubful	day hoi
tubfuls	bon tam
tubicole	quan dui ao dai
tubinares	pipers
tubman	nguoi tho san
tubularida	trong hinh ong
tubulate	hinh thanh ong
tubule	hinh ong
tubulous	co ong
tubulure	duong ong
tucan	nguoi so soang
tucet	mot ta
tuch	vai
tuck-net	gai luoi
tucker	vet rach
tuefall	lay lam tiec
tuesday	thu ba
tufted	chan chu
tufting	bui toc
tug	chang
tugboat	tau keo
tugger	nguoi keo
tuggingly	keo manh
tuition	hoc phi
tula metal	kim loai tula
tule	den
tulip	hoa tulip
tulip-eared	tai hoa tulip
tulip-shell	vo hoa tulip
tulipist	nguoi trong hoa tulip
tulipomania	chung toi yeu ban
tulipomaniac	hoa tulipomaniac
tulipwood	cay hoa tulip
tull	keo dai
tulle	vai tuyn
tullian	phong tuc
tum-tum	ban ban
tumble-down	nga xuong dat
tumbledung	nga nhao
tumblerful	co nhieu ngon ngang
tumblerfuls	con lat dat
tumbleweed	beo tam
tumbril	tren tumblr
tumefaction	su dieu chinh
tumidity	su non nao
tumped	bo lai
tumular	mo
tumulate	nhao lon
tumultuarily	lam xon xao
tumultuation	su xon xao
tumultuous	xon xao
tumulus	khoi u
tun-bellied	tun-bung
tun-dish	mon tun
tun-great	cung tuyet voi
tuna	ca ngu
tunable	du duong
tundra	lanh nguyen
tuneful	em tai
tuneless	khong dieu chinh
tuner	bo chinh
tungusic	vonfram
tunicle	ao dai
tuning	dieu chinh
tunker	nguoi dao ham
tunned	cam thay
tunnel	duong ham
tunnelling	dao ham
tunning	cua dem
tupaiid	tra tien
turatt	may man rang
turban-top	khan xep dau
turband	bang do
turbaned	bi lat tay
turbant	khan xep
turbaries	do tho nhi ky
turbellarian	nguoi noi loan
turbid	duc
turbidly	duc ngau
turbidness	do duc
turbinaceous	co nhieu song
turbination	su quay vong
turbinella	voi mot tuabin
turbinite	tuabin
turbit	lam phien
turbite	tua bin
turbo	bo tang ap
turbot	ke pha binh
turbulent	song gio
turcism	chu nghia dan toc
turdus	tua mieng
tureen	toi da
tureenful	chac nich
turfiness	su lon xon
turfing	san co
turfless	khong co co
turfy	lam bien doi
turgesce	phong len
turgescency	su sang trong
turgescent	chung se sung len
turgid	cuong len
turgidity	su hon loan
turiones	pho mai
turioniferous	la kim
turkey	ga tay
turkeys	ga tay
turkism	chu nghia tho dan
turkoman	tho nhi ky
turkomans	nguoi tho nhi ky
turm	toa thap
turmeric	nghe
turmoiled	hon loan
turmoiling	nao loan
turn-buckle	khoa quay tay
turn-out	tat
turn-outs	luot ra
turn-sick	tro benh
turnbull's blue	mau xanh cua turnbull
turncoat	ao khoac quay tay
turner	nguoi quay
turnerite	nhung nguoi di du lich
turnhalle	phong the duc
turning	quay
turningness	su quay lung
turnip	cay cu cai
turnip-shell	vo cu cai
turnix	cu cai
turnkeys	chia khoa trao tay
turnover	doanh so
turnplate	tam bang
turnspit	tu dung do
turnstile	cua quay
turntable	ban xoay
turnus	vong xoay
turnverein	cau lac bo the duc dung cu
turnwrest	quay tay
turpentine	nhua thong
turquoise	mau xanh ngoc
turret	thap phao
turreted	thap tung
turribant	ho gam len
turritella	khieu khich
turtle-footed	chan rua
turtle-shell	mai rua
turtlehead	dau rua
turves	dao lon
tuscor	toi dot chay
tush	mo uoc
tusk	rang nanh
tusk-shell	vo trau
tusked	co nga
tusker	nguoi an mon
tusky	day dac
tussac grass	co tussac
tussah silk	su gian no to tam
tussicular	co dang hat
tussle	lon xon
tussock	giay cao got
tussuck	gai
tut-nose	mui tut
tut-workmen	tho day kem
tutelage	su day do
tutele	bien phap bao ve
tutored	kem cap
tutorial	huong dan
tutorism	su huong dan
tutory	day kem
tutress	gia su
tutsan	chup lay
tuza	chung toi den
twaddle	chay bo
twaddler	tre con
twaddling	dan vao nhau
twaddy	doi ba
twagger	dao gam
twanging	giat gan
twankay	hai ngay
twattle	tieng lach cach
twattler	nguoi giat day
tweak	chinh sua
tweedle	vai tuyt
tweezers	cai nhip
twelfth-cake	banh thu muoi hai
twelfth-day	ngay thu muoi hai
twelfth-night	dem thu muoi hai
twelfthtide	thu muoi hai
twelve	muoi hai
twelvemonth	muoi hai thang
twelvepence	muoi hai tien
twelvepenny	muoi hai dong tien
twenty-fourmo	hai muoi bon thang
twentyfold	gap hai muoi lan
twice	hai lan
twiddle	xoay nguoi
twigged	uon cong
twighte	nguoi cao tuoi
twigsome	canh cay
twilight	hoang hon
twill	dan cheo
twinborn	sinh doi
twiner	cay leo
twining	van thung
twinkling	lap lanh
twinleaf	la doi
twinning	ket nghia
twinter	dan xen
twire-pipe	ong xoan
twirled	xoay tron
twiste	nhung cuoc cai va
twistical	song song
twisting	xoan
twitch grass	co co giat
twitching	co giat
twite	tieng riu riu
twitted	xoan lai
twittered	chinh te
twitting	tweet
twittingly	lat leo
two-capsuled	hai nguoi bi lat up
two-cleft	hai khe ho
two-decker	hai tang
two-foot	hai chan
two-forked	hai nga ba
two-handed	hai tay
two-lipped	noi hai giong
two-parted	hai phan
two-ply	hai lop
two-ranked	hai hang
two-sided	hai mat
twofold	gap doi
twopence	hai nguoi
twopenny	hai xu
twyblade	hai luoi
ty-all	ty-tat ca
tyburn ticket	ve tyburn
tycoon	tai phiet
tydy	khong phai ban
tyer	nghi duong
tyger	cac loai vai
tying	buoc
tylari	cai mam
tylopoda	vo phia sau
tylosis	chung luoi bieng
tymp	bai rac
tympana	trong
tympanal	ong ngoai
tympanist	nguoi viet tympanist
tympanitis	viem voi trung
tympanize	chu viet tat
tympanizing	danh chu
tympano-	cai trong
tympany	mang nhi
type	loai hinh
typed	da danh may
typesetter	nguoi sap chu
typesetting	sap chu
typewriting	may danh chu
typhlitis	viem sot phat ban
typhomania	chung cuong phong
typhoon	bao nhiet doi
typhous	benh thuong han
typhus	sot phat ban
typic	dien hinh
typical	dac trung
typification	su danh may
typified	duoc danh dau
typo	loi danh may
typocosmy	loi chinh ta
typographer	tho sap chu
typographical	danh may
typography	kieu chu
typolite	nguoi danh may
typology	phan loai hoc
typothetae	duoc danh may
tyrannicide	thuoc diet bao chua
tyranny	su chuyen che
tyrociny	bao chua
tyronism	che do chuyen che
tyros	thuan khiet
tysonite	cac tussons
tystie	im lang
tything	buoc lai
tzar	sa hoang
tzaritza	jarija
uakari	doi bung
uberty	tu do
ubication	su an mon
ubiety	mac quan ao
ubiquitaries	khap noi
ubiquitariness	co mat khap noi
ubiquitist	nguoi di khap noi
ubiquity	o khap noi
udal	thanh pho truc thuoc trung uong
udaler	hoi dong
udderless	khong co vu
uglily	yeu tinh
ugly	xau xi
uhlan	dia nguc
uintatherium	tho nau ruou
ulan	con mua
ularburong	ulbarung
ulcerable	co the bi loet
ulcerating	lam loet
ulcerous	lo loet
ulcuscule	khoi u nho
ulmate	ban than
ulmus	cay du
ulna	xuong khuyu tay
ulotrichan	phong dai
ulterior	tiep theo
ulteriorly	kin dao
ultimate	toi thuong
ultimated	bi danh trao
ultimately	cuoi cung
ultime	muon nhat
ultimity	toi hau thu
ultimo	cuoi cung
ultra	cuc ky
ultra vires	khong dung tham quyen
ultra-	cuc ky-
ultramontanism	chu nghia cuc doan
ultramontanist	nguoi theo chu nghia cuc doan
ultramundane	sieu tran
ultrared	cuc doan
ultratropical	sieu nhiet doi
ultraviolet	tia cuc tim
ultroneous	sieu pham
ulula	gian di
ululated	bi loet
ululating	loet
ululation	vet loet
umbe	xap xi
umbellate	umbala
umbellated	khong co dau
umbilicated	lom xuong
umbilication	ron
umbilicus	lo ron
umbo	hinh dang
umbonated	co o nhiem
umbones	o du
umbra	cai bong
umbraculiferous	co nhieu hoa
umbrae	bong toi
umbrageous	da nghi
umbratile	ram
umbre	hien thi
umbrere	osin
umbriferous	lem linh
umbrine	nguoi umbrian
umbrosity	hao phong
umlauted	co am sac
umpire	trong tai
umpired	khong mong muon
umquhile	ban da bat duoc anh ta
un-mosaic	huy kham
un-romanized	khong co chu la tinh
una boat	mot chiec thuyen
unableness	khong the
unabsorbable	khong the hap thu
unaccomplished	khong cong bo
unaccomplishment	khong thanh lap
unadmittable	khong the chuyen nhuong
unadulterated	khong sai lam
unadvised	khong duoc giam sat
unaffected	khong bi anh huong
unaidable	khong dang co
unalienable	khong the chuyen duoc
unalist	khong theo chu nghia
unallied	khong duoc hoan nghenh
unalloyed	khong hop kim
unamiability	khong co song
unanimity	su nhat tri
unanimous	nhat tri
unanswerability	khong co kha nang tra loi
unanswerable	khong the tra loi duoc
unanswered	khong duoc tra loi
unapplicable	khong the ap dung
unargued	khong lo lang
unarm	toi ac
unartistic	vo chinh phu
unascried	khong khoc
unaserved	khong duoc bao dam
unassuming	khiem ton
unattentive	khong chu y
unau	anh chi em ho
unavoidable	khong the tranh khoi
unavoided	khong duoc ung ho
unbacked	khong co hau thuan
unbag	mo tui
unballasted	khong bi nem da
unbaned	bo cam
unbar	bo thanh
unbarbed	khong co gai
unbarrel	thung go
unbarricade	bo chuong ngai vat
unbarricadoed	khong co ngan cach
unbashful	khong rut re
unbeat	bat bai
unbed	khong co giuong
unbedinned	khong co gang
unbeget	bo quen
unbegotten	khong the chap nhan
unbegun	thao sung
unbeing	khong tuan theo
unbelief	su khong tin tuong
unbelieving	khong tin
unbelt	khong deo day
unbend	be cong
unbending	khong uon nan
unbenevolence	long nhan tu
unbenign	chuyen quyen
unbespeak	mo loi
unbiased	khong thien vi
unbid	khong tra gia
unbidden	khong bi cam
unbishop	giam muc
unbitted	khong ghi no
unbitting	bo ghi no
unblemished	khong ty vet
unbless	khong ngot
unblessed	khong say me
unblest	khong cao quy nhat
unblestful	khong cao quy
unbloody	khong co huyet thong
unbody	khong ai
unbooked	chua dat truoc
unborn	chua sinh
unborrowed	khong vay muon
unbosomed	khong quen biet
unbottomed	khong quen thuoc
unbowelled	khong duoc danh van
unbrace	huy thuong hieu
unbraid	khong co nhan
unbreathed	khong duoc nuoi duong
unbred	khong lai tao
unbrewed	khong co bia
unbuild	do bo
unbundle	tach nhom
unbung	tap the duc
unburden	trut bo ganh nang
unburiable	khong the chon cat
unbusied	chua vo mong
unbutton	mo nut
unbuxom	toi xin loi
uncage	nguoi lam nghe
uncalled-for	khong duoc goi cho
uncalm	khong hop nhat
uncanny	ky la
uncanonize	khong nhan ra
uncapper	nguoi mo ra
uncentury	khong thuong luong
uncertainties	su khong chac chan
uncertainty	tinh khong chac chan
unchain	khong co dinh
uncharge	khong tich dien
uncharity	khong hiem co
uncharm	khong he han gi
uncharneled	khong duoc nap nang luong
uncheckable	khong the kiem tra duoc
unchild	bo tre
unchristian	khong theo dao thien chua
unchristianize	huy cong khai hoa
unchristianness	su khong cong khai
unchurch	khong chao dao
unci	mot ounce
uncinate	vo can
uncinatum	mac cau
uncini	moc
uncircumcised	khong cat bi
uncircumcision	khong cat bao quy dau
uncircumstandtial	phi thuong
uncity	than thanh
uncivilty	khong van minh
unclasp	thao ban do
uncle	chu
uncleansable	khong the rua duoc
uncleship	quan he chu bac
unclinch	bo lien ket
uncloak	cac chu
unclosed	khong duoc tiet lo
unclothed	khong co quan ao
uncloud	khong on ao
unclue	lam ro rang
unclutch	thao ly hop
uncoined	chua luyen
uncombine	khong ket hop
uncommon	khong pho bien
uncomplete	chua hoan thanh
uncomprehend	khong hieu
uncomprehensive	khong toan dien
unconcluding	khong bao gom
unconclusive	bat phan thang bai
unconditional	vo dieu kien
unconditioned	khong co dieu kien
unconformable	khong phu hop
unconformist	nguoi khong phu hop
unconformity	su khong phu hop
unconfound	khong rang buoc
uncongeal	khong hap dan
unconscious	bat tinh
unconsidered	khong can nhac
unconsonant	khong hop am
unconspicuous	khong de thay
unconstancy	khong co suc song
unconstitutional	vi hien
unconstraint	khong bi rang buoc
unconsummate	khong co tinh ban
uncontestable	khong the kiem chung
uncontroversory	khong kiem soat duoc
unconvenient	khong tien
unconversion	khong chuyen doi
unconverted	khong doi
uncord	khong sap xep
uncorrupt	khong dot ngot
uncorruptible	chua hu
uncorruption	khong bi gian doan
uncouple	tach roi
uncourtliness	xau tinh
uncovenable	khong the kham pha duoc
uncovenanted	khong giao uoc
uncovered	khong che day
uncovering	kham pha
uncreate	khong tao ra
uncreatedness	khong duoc dieu tri
uncredit	khong co tin dung
uncrown	chua truong thanh
unction	chu thich
unctuosity	tinh khong chinh xac
unculpable	khong the sua duoc
unculture	vo van hoa
uncurable	khong the chua duoc
uncurbable	khong sua chua duoc
uncurrent	khong hien tai
uncus	cai moc
uncut	chua cat
uncuth	gay
undampned	chua dong dau
undated	khong ghi ngay thang
undaunted	khong nan long
undeadly	kien co
undecane	khong sach se
undeceive	khong nhan thuc duoc
undecennial	duoi mot nam
undecide	chua quyet dinh
undecisive	khong quyet doan
undecked	chua giai ma
undecolic	khong duoc yeu cau
undecreed	khong do du
undecylenic	khong theo phong cach
undefeasible	khong kha thi
undeniably	khong the phu nhan
under	duoi
under-arm	duoi canh tay
underact	giam tru
underaction	su suy yeu
underactor	nguoi danh gia thap
underagent	duoi cap
underaid	duoi nach
underback	mat duoi
underbid	gia thau thap
underbind	subbind
underbred	lai tap
underbrush	ban chai
underbuilder	nguoi xay dung co ban
underbuilding	xay dung co ban
underbuy	mua thieu
underchanter	nguoi mua duoi
undercharge	phu phi
underclothing	quan ao lot
undercoat	lop long to
underconduct	chui
underconsumption	muc tieu thu thap
undercraft	co so vat chat
undercry	tho thien
undercurrent	dong dien thap
undercut	cat xen
underdelve	chia nho
underdo	lam duoi quyen
underdolven	ke yeu
underdose	qua lieu
underdressed	thieu quan ao
underestimate	danh gia qua thap
underfarmer	nong dan
underfeed	cho an it
underfringe	vien duoi
underfurrow	phat trien duoi dat
underglaze	trang men
undergod	duoi chan chua
undergoing	dang trai qua
undergore	duong duoi
undergraduate	dai hoc
undergraduateship	sinh vien dai hoc
undergrow	khong phat trien
undergrown	phat trien kem
undergrowth	long to
undergrub	bui ram
underhanded	am chi
underhang	nho ra
underheave	thua ke
underjaw	xuong ham duoi
underkeep	bao quan
underkeeper	tro ly thu mon
underkind	nhen nhom
underkingdom	dia chi duoi quyen
underlaborer	phong thi nghiem phu
underlayer	lop duoi
underleaf	trang duoi
underlet	tam lot
underletter	ban tin duoi
underline	gach chan
underling	thuoc ha
underlip	duoi moi
underlock	khoa chat
underlocker	nguoi mo khoa
underlying	co ban
undermanned	khong co tieng
undermasted	khong bi mai mon
undermeal	bot mi
undermine	huy hoai
underministry	che do duoi quyen
undermost	duoi cung
underneath	ben duoi
underniceness	su dep de
underofficer	n.c.o.
underpart	phan duoi
underpay	tra luong thap
underpeep	bi mat
underpeer	dong dang phu
underpight	thieu sang suot
underpinned	cung co
underpitch	chui xuong dat
underplay	choi duoi
underplot	am muu
underpossessor	nguoi danh gia duoi quyen
underpraise	loi che bai
underprize	duoi chuan
underproduction	san xuat thieu
underprop	cam phu
underproper	dao cu phu
underproportioned	khong can doi
underpuller	quan lot
underreckon	so luong thap
underrun	mon hoc
undersail	duoi day bien
undersailed	khong co chi tiet
undersay	nhan manh
undersecretary	duoi thu ky
undersell	ban duoi
undersetter	nguoi dat duoi
undershoot	chui vao
undershot	anh chup duoi
undershrub	cay bui
underside	duoi
undersign	ky ten duoi
undersized	nho hon
underskinker	giam bong thap hon
underskirt	vay duoi
undersky	duoi bau troi
undersold	gach duoi
undersong	duoi long bien
undersparred	khong duoc quang cao
underspend	tieu duoi
understair	duoi gam
understairs	duoi cau thang
understandable	co the hieu duoc
understanded	da hieu
understatement	su noi nho
understock	duoi day
understood	hieu
understrapping	goi gon lai
understratums	duoi lop
understroke	dau gach ngang
understudy	hoc viec
undertakable	co the dam bao
undertaken	thuc hien
undertaker	nguoi lam cong viec kham liem
undertapster	duoi ke thua cuoc
undertaxed	chiu thue
undertenancy	su thue muon
undertenant	nguoi duoi quyen
underthing	do duoi
undertide	lop lot
undertime	theo thoi gian
undertone	mau xanh da troi
undertook	dam nhan
undertow	dong nuoc ngam
undertreasurer	duoi thu quy
underturn	duoi chan
undervaluation	danh gia thap
undervaluer	gia tri thap
undervest	ha tay
underviewer	nguoi soi chieu
underwear	do lot
underween	o duoi
underwing	duoi quyen
underwood	duoi rung
underwork	duoi tac
underworked	lam viec kem
underworker	nguoi lam duoi quyen
underworld	the gioi ngam
underwriter	nguoi bao lanh
underwriting	danh gia rui ro
underwritten	bao lanh
underwrote	viet duoi
underwrought	trai qua
underyoke	gia dinh lu voi su may man
undeserver	nguoi phuc vu
undestroyable	khong the pha huy
undeterminable	khong xac dinh duoc
undevil	khong de doa
undid	mo nap
undifferentiated	khong phan biet
undigenous	khong ban dia
undight	duoi anh sang
undigne	chua du tuoi
undirect	khong dung
undirected	vo huong
undirectly	khong truc tiep
undisclose	khong tiet lo
undiscreet	khong kin dao
undispensable	khong the thieu
undispensed	chua phan phoi
undisposedness	khong the tranh cai
undividual	rieng le
undivisible	khong the phan chia
undo	hoan tac
undock	thao khoa
undomesticate	khong co thuoc bao ve thuc vat
undone	hoan tac
undreamed	khong mo mong
undreamt	khong mo tuong
undue	thai qua
undueness	su qua dang
unduke	anh ay noi
undulant	thieu vai
undulary	thieu nghiem tuc
undulating	nhap nho
undulationist	nguoi an mac ho hang
undulative	khong tich luy
undulatory	noi xau
unduly	qua muc
undust	khong tan lui
undying	bat tu
unearthing	khai quat
uneath	khong cam long
unedge	chua sua chua
unelasticity	khong co gian
uneligible	khong du dieu kien
unembarrassed	khong boi roi
unembarrassment	su lung tung
unembodied	hien than
unempirically	theo kinh nghiem
unemployed	that nghiep
unencumber	khong co so
unendly	bat thuong
unequal	khong can bang
unequalable	khong gi sanh duoc
unequally	ngang nhau
unequalness	bat binh dang
unequivocal	ro rang
uneven	khong dong deu
unevitable	khong the chong lai
unexact	khong chinh xac
unexampled	chua duoc lay mau
unexceptionable	khong the chap nhan duoc
unexhaustible	khong can kiet
unexpectation	khong mong doi
unexpected	khong ngo toi
unexpedient	khong giai quyet duoc
unexperienced	chua co kinh nghiem
unexperient	thieu kinh nghiem
unexpertly	xuat sac
unexpressible	khong the giai thich duoc
unexpressive	khong boc lo
unface	mo mat
unfailable	khong co san
unfair	khong cong bang
unfaithful	khong chung thuy
unfalcated	khong phan chia
unfallible	tinh co
unfathered	con khong cha
unfavorable	khong thuan loi
unfeaty	khong ngon mieng
unfeeling	khong co cam giac
unfeigned	khong ky ten
unfellow	khong em diu
unfellowed	khong thuoc ve
unfertile	vo sinh
unfestlich	khong co le hoi
unfeudalize	lam mat danh du
unfinished	chua xong
unfirm	khong xac nhan
unfit	khong thich hop
unfix	bo sua loi
unfledged	khong co kien thuc
unflexible	khong linh hoat
unflinching	khong nao nung
unflower	mo hoa
unforeseeable	khong luong truoc duoc
unforeskinned	khong biet truoc
unforgettable	khong the nao quen
unform	khong thanh hinh
unformed	khong dinh dang
unfortunate	that khong may
unfounded	vo can cu
unframe	khong co khung
unfrangible	khong the uon nan
unfrankable	khong the tuong tuong duoc
unfraught	khong cang thang
unfree	khong tu do
unfriended	khong ket ban
unfriendly	khong than thien
unfriendship	tinh ban
unfruitful	khong tuyen dung
unfurl	truong
unfurnish	khong hoan thien
ungear	nguoi hungary
ungeld	bo tien
ungentle	ban khong dep
ungifted	khong co nang luc
ungird	cu nhan
ungka	so lieu
unglaze	khong trang men
unglorify	khong phan hoa
ungod	that
ungot	tieng cau nhau
ungown	doc than
ungowned	khong co tai san
ungrateful	vo on
unguent	thuoc mo
unguentary	khong co tam
unguestlike	khong giong nhat
unguicular	khong co thau kinh
unguiculate	vo nguyen tac
unguiculated	khong dieu hoa
unguiform	khong co hinh dang
unguis	mong vuot
ungulata	co mong
unguled	vo duyen
unguligrade	ung thu
ungulous	mong guoc
unhair	trong chung
unhallow	bat hanh
unhallowed	khong duoc theo doi
unhang	u ngan hang nong nghiep
unhap	ho
unhappy	khong vui
unharbor	do cang
unharmonious	khong hai hoa
unharness	su bat tinh
unhat	dung mac
unhead	mo dau
unheal	khong lanh
unhealth	khong khoe manh
unheard-of	khong nghe
unheart	khong yeu
unheedy	khong co mui hoi
unhele	mong tay
unhelm	that dang kinh ngac
unhide	o eunhee
unhonest	khong trung thuc
unhood	su hun duc
unhooked	khong co y kien
unhorse	tha ngua
unhospitable	khong hieu khach
unhouse	tham gia
unhuman	vo nhan dao
unhumanize	vo nhan hoa
unhusked	khong vuong viu
uni-	anh ta
uniaxially	don truc
unicapsular	don the
unicarinated	khong co gaz
unicelled	khong chinh ta
unicellular	don bao
unicolorous	khong hai huoc
unicorn	con ky lan
unicornous	ky lan
unicostate	nguyen chat
unideaed	khong co y tuong
unidimensional	don chieu
unifacial	don mat
unifollilate	khong co giay bac
uniform	dong phuc
uniformal	dong deu
uniformitarian	chuyen che
uniformitarianism	chu nghia thong nhat
unifromness	su don thuan
unigeniture	chi sinh ra
unijugate	hop lai
unilateral	don phuong
unimitable	khong the bat chuoc
unimpairable	khong the sai duoc
unimportance	khong quan trong
unimproved	khong duoc cai thien
unimuscular	mot mat
unincumbered	khong bi can tro
uninfringible	khong the nghe duoc
unintelligence	khong thong minh
uninteressed	khong vui
uninterested	khong quan tam
unintermission	su lien ket
uninucleated	khong hat nhan
uniocular	don le
union	lien hiep
unionism	chu nghia doan the
unionist	doan vien
uniparous	khong hop nhau
unipersonal	so huu duy nhat
unipersonalist	nguoi theo chu nghia ca nhan
uniphonous	don am
uniplicate	khong trung lap
unipolar	don cuc
unique	doc nhat
uniramous	dong nhat
uniseptate	tach ra
uniseriate	lien mach
unison	dong tam
unisonant	khong thuoc quyen
unisonous	khong lien quan
unit	don vi
unitarian	don nguyen
unitarianism	chu nghia nhat the
unitarianizing	nhat the hoa
unitary	nhat the
uniter	cung voi nhau
unities	doan the
unition	su hop nhat
unitive	thong nhat
unitizing	hop nhat
unitude	ngay ngu
unity	doan ket
univalence	su khong hop nhau
univalent	don gia tri
univalve	khong co gi khac biet
univalvular	doc nhat vo nhi
universalian	nguoi pho quat
universalism	chu nghia pho quat
universalizing	pho cap
universally	pho bien
universalness	tinh pho quat
universalties	pho quat
universe	vu tru
universities	cac truong dai hoc
university	truong dai hoc
universological	pho quat hoc
universologist	nha vu tru hoc
universology	vu tru hoc
univocacy	don doc
univocal	dong nghia
univocation	su tap trung
unjoin	bo gia nhap
unjointed	roi rac
unjust	oan uong
unjustice	su bat cong
unke	cua chung
unkempt	nhech nhac
unkennel	cai pheu
unkindliness	khong tu te
unkle	cua chung
unknot	khong tot
unknown	khong xac dinh
unlabored	khong cong phu
unlade	khong tai
unlaid	khong trang tri
unlap	bung ra
unlash	bot
unlatch	mo chot
unlatched	khong khop
unlaw	trai luat
unlawed	khong co luat phap
unlawful	trai phap luat
unlearn	khong hoc
unleavened	khong men
unless	tru khi
unlike	khong giong
unlikely	khong chac
unlikeness	khong giong nhau
unlimber	khong thang muoi mot
unlimitable	khong the gioi thieu
unlimited	vo han
unlink	huy lien ket
unliquidated	khong thanh ly
unliquored	khong duoc kiem duyet
unlived	khong duoc chap thuan
unloader	nguoi do hang
unlocated	khong dinh vi
unlooked-for	mo khoa cho
unloose	long leo
unlorded	khong co thu tu
unlove	yeu thuong
unlovely	khong yeu thuong
unluckiness	khong may man
unlust	su mien cuong
unmade	chua lam
unmagistrate	khong nham lan
unmaiden	coi mo
unmake	chua may
unman	hu khong
unmanacle	khong co nguoi quan ly
unmanhood	khong co nguoi lai
unmannerly	khong nguoi lai
unmantle	khong biet gi
unmarry	chua ket hon
unmartyr	vo dang
unmasculate	tinh toan
unmask	vach mat
unmasterable	khong che giau duoc
unmaterial	phi vat chat
unmeasurable	khong the do luong duoc
unmechanized	khong co co hoi
unmentionables	khong co su menh
unmerchantable	khong the mua duoc
unmercied	khong lien ket
unmerciful	khong thuong tiec
unmingle	khong lan lon
unmistakable	khong the nham lan
unmiter	khong do luong
unmoneyed	khong co tien
unmonopolize	giai phong
unmoor	khong dong day
unmoral	vo dao duc
unmoralized	khong tap trung
unmortise	khong co lo mong
unmothered	khong lam phien
unmould	khong co khuon mau
unmovable	khong the di chuyen duoc
unmoved	bat di bat dich
unmuffle	thao do
unmuzzle	bo mom
unnapped	khi nao
unnatural	khong tu nhien
unnaturalize	vo co
unnature	khong co chu ky
unneighbored	khong cao
unnervate	lam mat suc manh
unnest	lam on
unnestle	bo lo
unnotify	khong thong bao
unnumbered	khong duoc danh so
unnumerable	khong the dem duoc
unobedient	khong vang loi
unobservance	khong quan sat duoc
unoffensive	khong ton kem
unoften	khong thuong xuyen
unoperative	khong hoat dong
unoperculated	khong tinh toan
unorderly	khong som
unordinate	khong co trat tu
unorganized	khong co to chuc
unossified	chua duoc cong bo
unowned	khong biet
unpack	giai nen
unpacker	nguoi giai nen
unpaganize	huy cong nhan
unpaint	khong son
unpaired	khong ghep doi
unpalped	khong duoc danh dau
unpannel	bo kenh
unparadise	vo danh
unparagoned	khong co mang tay
unparented	khong co cha me
unparliamentary	khong co nghi vien
unpartial	vo tu
unpassionate	khong dam me
unpathwayed	khong co loi di
unpatience	thieu kien nhan
unpatient	mot benh nhan
